"order_color","order_hierarchy","order_calculate","goal","parent","name","name_flower","description","weight","preindex_function","postindex_function"
1.2,1,15,"FP",,"Provisión de alimentos","Provisión de alimentos","This goal measures the amount of seafood sustainably harvested in a given region through any means for use primarily in human consumption and thus includes wild-caught commercial fisheries, mariculture, artisanal-scale and recreational fisheries.",1,,"FP(layers, scores)"
1.1,1.1,1,"FIS","FP","Fisheries","Pesca","This subgoal model aims to assess the amount of wild-caught seafood that can be sustainably harvested, with sustainability defined by multi-species yield, and with penalties assigned for both over- and under-harvesting.",0.5,"FIS(layers)",
1.3,1.2,2,"MAR","FP","Mariculture","Maricultura","This subgoal measures the ability to obtain maximal seafood yield from farm-raised facilities without damaging the ocean's ability to continue providing fish for people in the future.",0.5,"MAR(layers)",
2,2,3,"AO",,"Artisanal Fishing Opportunity","Oportunidad de\nPesca Artesanal","This goal captures the access people have to coastal resources, whether or not they actually take fish or harvest from coastal waters.",1,"AO(layers)",
3,3,4,"NP",,"Natural Products","Productos Naturales","This goal model calculates overall status by weighting the status of sustainable harvest of each product by its proportional value relative to other harvested products.",1,"NP(layers)",
4,4,5,"CS",,"Carbon Storage","Secuestro\nde carbono","This goal captures the carbon stored in natural coastal ecosystems that absorb and sequester carbon in large amounts.",1,"CS(layers)",
5,5,6,"CP",,"Coastal Protection","Protección\nCostera","This goal measures the amount of protection certain coastal habitats provide by measuring the current area they cover relative to the area they covered in the recent past.",1,"CP(layers)",
6,6,7,"TR",,"Tourism & Recreation","Turismo y \nRecreación","This goal captures the value people have for experiencing and taking pleasure in coastal areas.",1,"TR(layers)",
7.2,7,16,"LE",,"Medios de vida y Economías","Medios de vida y Economías","This goal aims to maintain coastal and ocean-dependent livelihoods and productive coastal economies while also maximizing livelihood quality.",1,,"LE(scores, layers)"
7.1,7.1,8,"LIV","LE","Livelihoods","Medios\nde vida","This subgoal evaluates the benefits people obtain from the oceans in the form of jobs and wages.",0.5,"LIV(layers)",
7.3,7.2,9,"ECO","LE","Economies","Economías","This subgoal captures the economic value associated with marine industries.",0.5,"ECO(layers)",
8.2,8,17,"SP",,"Sentido de lugar","Sentido de lugar","This goal aims to capture the level of protection for aspects of the coastal and marine system that contribute to a person's sense of cultural identity.",1,,"SP(scores)"
8.1,8.1,10,"ICO","SP","Iconic Species","Especies\nIcónicas","This subgoal captures the species that are important to a region because they are relevant to local cultural identity.",0.5,"ICO(layers)",
8.3,8.2,11,"LSP","SP","Lasting Special Places","Sentido\nde Lugar","This subgoal captures the conservation status of geographic locations that hold significant aesthetic, spiritual, cultural, recreational, or existence value for people.",0.5,"LSP(layers)",
9,9,12,"CW",,"Clean Waters","Aguas Limpias","This goal captures the degree to which waters are polluted.",1,"CW(layers)",
10.2,10,18,"BD",,"Biodiversidad","Biodiversidad","This goal captures the conservation status of marine species.",1,,"BD(scores)"
10.1,10.1,13,"HAB","BD","Habitats","Habitats","This subgoal measures the condition of habitats that are important for supporting a wide array of species diversity.",0.5,"HAB(layers)",
10.3,10.2,14,"SPP","BD","Species","Especies","This subgoal aims to estimate how successfully the richness and variety of marine life is being maintained.",0.5,"SPP(layers)",
