"rgn_id","area_km2"
1,768
2,6315
3,10067
4,414
5,3336
6,87172
7,106417
8,7036
9,8707
10,2637
11,3412
12,1685
13,1858
14,263
15,912
16,2435
17,1681
18,4283
19,1283
20,2401
21,71484
22,2322
23,1505
24,392
25,232
26,3819
27,2225
28,4838
29,1177
30,2123
31,806
32,881
33,2169
34,518
35,648
36,4904
37,115
38,14632
39,5801
40,726
41,5981
42,4696
43,9849
44,3692
45,1813
46,2401
47,1683
48,847
49,2765
50,587
51,777
52,346
53,1371
54,3476
55,1326
56,199
57,3593
58,6652
59,209464
60,1263
61,5783
62,758
63,895
64,2145
65,1347
66,2615
67,6758
68,8023
69,1295
70,3495
71,84
72,106397
73,144
74,147
75,3556
76,16733
77,5978
78,6609
79,1108
80,993
81,32488
82,1338
83,407
84,7473
85,2346
86,616
87,2298
88,973
89,11542
90,1841
91,18712
92,2438
93,8502
94,1008
95,213
96,1464
97,64966
98,199
99,1658
100,1275
101,1371
102,1043
103,915
